SENATOR (DEM),Precinct,Voters,Trnout,Pct,BILL BRADBURY,CRAIG HANSON,GREG HAVEN,Under Votes,Over Votes,Write-ins
,5820,1333,635,47.64%,451,176,0,8
,5850,636,263,41.35%,192,68,0,3
,5868,898,483,53.79%,379,97,0,7
,5870,907,400,44.10%,329,69,0,2
,5871,481,195,40.54%,163,31,0,1
,TOTAL,8348,3807,45.60%,2969,787,2,49
STATE HOUSE DIST. 50 (REP),Precinct,Voters,Trnout,Pct,ERNEST J. HODGIN,Under Votes,Over Votes,Write-ins
,5819,926,428,46.22%,263,159,1,5
,5828,1068,469,43.91%,305,160,0,4
,5842,1655,887,53.60%,510,368,0,9
,5846,1694,746,44.04%,451,282,0,13
,5851,1462,778,53.21%,490,278,0,10
,5853,1113,576,51.75%,368,199,0,9
,5855,1443,690,47.82%,389,298,0,3
,5861,802,356,44.39%,225,128,0,3
,TOTAL,10163,4930,48.51%,3001,1872,1,56
STATE HOUSE DIST. 51 (REP),Precinct,Voters,Trnout,Pct,LINDA FLORES,Under Votes,Over Votes,Write-ins
,4216,308,134,43.51%,89,42,0,3
,5602,166,90,54.22%,62,28,0,0
,TOTAL,474,224,47.26%,151,70,0,3
STATE HOUSE DIST. 52 (REP),Precinct,Voters,Trnout,Pct,PATTI SMITH,Under Votes,Over Votes,Write-ins
,5425,927,483,52.10%,402,70,0,11
,5604,841,463,55.05%,305,155,0,3
,TOTAL,1768,946,53.51%,707,225,0,14
