PRESIDENT,Precinct,Voters,Trnout,Pct,HARRY BROWNE (LIB),PATRICK J. BUCHANAN (IND),GEORGE W. BUSH (REP),AL GORE (DEM),JOHN HAGELIN (REF),RALPH NADER (PAC),HOWARD PHILLIPS (CON),Under Votes,Over Votes,Write-ins,,
,2100,4047,3219,79.54%,2168,515,488,5,43,,,,,,,
,2114,3688,2882,78.15%,1920,551,368,9,34,,,,,,,
,2143,2598,1979,76.17%,1282,310,350,1,36,,,,,,,
,3004,2988,2034,68.07%,1529,295,186,2,22,,,,,,,
,3008,3437,2726,79.31%,1998,378,310,4,36,,,,,,,
,3058,4991,3693,73.99%,2568,656,419,14,36,,,,,,,
,3097,3966,2963,74.71%,2135,524,277,9,18,,,,,,,
,3151,5088,3622,71.19%,2581,697,305,8,31,,,,,,,
,3253,1285,979,76.19%,666,152,152,1,8,,,,,,,
,,57190,41904,73.27%,29053,7074,5172,100,505,,,,,,,
STATE SENATOR 10TH DISTRICT,Precinct,Voters,Trnout,Pct,ROY BURKETT (CON),AVEL LOUISE GORDLY (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,3002,2692,2064,76.67%,317,1419,309,1,18,,,,,,,
,3086,2724,2020,74.16%,253,1451,301,1,14,,,,,,,
,3113,3238,2879,88.91%,251,2205,408,2,13,,,,,,,
,3128,3853,3393,88.06%,331,2540,499,2,21,,,,,,,
,3144,3833,3407,88.89%,245,2696,441,3,22,,,,,,,
,3177,4140,3440,83.09%,413,2375,625,4,23,,,,,,,
,3193,4348,3622,83.3%,354,2638,604,3,23,,,,,,,
,3240,4680,3647,77.93%,552,2404,651,5,35,,,,,,,
,3248,2630,2107,80.11%,254,1467,367,1,18,,,,,,,
,3259,4560,3831,84.01%,307,2944,556,3,21,,,,,,,
,3290,3628,3212,88.53%,277,2382,525,2,26,,,,,,,
,3297,1623,1153,71.04%,183,786,176,1,7,,,,,,,
,4111,3585,3081,85.94%,344,2130,578,0,29,,,,,,,
,4125,3850,2798,72.68%,629,1528,602,1,38,,,,,,,
,4131,3243,2625,80.94%,294,1838,460,5,28,,,,,,,
,4155,3806,2963,77.85%,375,2054,504,0,30,,,,,,,
,4320,3640,2661,73.1%,513,1496,621,4,27,,,,,,,
,TOTAL,60073,48903,81.41%,5892,34353,8227,38,393,,,,,,,
STATE SENATOR 11TH DISTRICT,Precinct,Voters,Trnout,Pct,CHRIS GORSEK (DEM),JOHN MINNIS (REP),ARTHUR J. SCARBOROUGH (SOC),Under Votes,Over Votes,Write-ins,,,,,,
,432,209,141,67.46%,59,67,1,13,0,1,,,,,,
,433,238,164,68.91%,77,77,1,7,1,1,,,,,,
,542,9,7,77.78%,3,4,0,0,0,0,,,,,,
,543,26,11,42.31%,4,6,0,0,0,1,,,,,,
,546,125,83,66.4%,48,30,4,1,0,0,,,,,,
,547,2,2,100%,2,0,0,0,0,0,,,,,,
,3307,3317,2658,80.13%,1026,1383,40,199,3,7,,,,,,
,3322,1584,1259,79.48%,474,670,16,97,0,2,,,,,,
,3330,3490,2724,78.05%,1050,1451,30,181,2,10,,,,,,
,5100,3027,2209,72.98%,947,1066,27,163,2,4,,,,,,
,5200,4071,3062,75.21%,1158,1643,37,217,1,6,,,,,,
,5201,3224,2650,82.2%,1035,1397,19,191,3,5,,,,,,
,5301,1445,1038,71.83%,435,518,9,71,3,2,,,,,,
,5401,300,265,88.33%,118,127,2,18,0,0,,,,,,
,5603,401,305,76.06%,114,149,4,34,1,3,,,,,,
,5819,4047,2981,73.66%,1337,1351,34,243,5,11,,,,,,
,5820,3953,3001,75.92%,1223,1449,29,287,4,9,,,,,,
,5828,3038,2094,68.93%,867,1002,34,180,3,8,,,,,,
,5842,4376,3566,81.49%,1379,1856,37,291,0,3,,,,,,
,5846,4030,3274,81.24%,1127,1840,29,264,7,7,,,,,,
,5850,3547,2507,70.68%,1020,1222,49,203,2,11,,,,,,
,5851,4022,3143,78.15%,1204,1689,27,211,7,5,,,,,,
,5853,3461,2665,77%,1088,1293,25,246,3,10,,,,,,
,5855,3683,3083,83.71%,1165,1601,23,287,3,4,,,,,,
,5861,2616,2049,78.33%,844,1006,24,168,4,3,,,,,,
,5868,2630,2025,77%,759,1076,19,166,1,4,,,,,,
,5870,3490,2530,72.49%,998,1286,44,187,2,13,,,,,,
,5871,2397,1591,66.37%,741,673,44,128,2,3,,,,,,
,TOTAL,66758,51087,76.53%,20302,25932,608,4053,59,133,,,,,,
STATE SENATOR 28TH DISTRICT,Precinct,Voters,Trnout,Pct,VERN COOK (DEM),TED FERRIOLI (REP),Under Votes,Over Votes,Write-ins,,,,,,,
,521,80,62,77.5%,24,32,6,0,0,,,,,,,
,5425,2690,2153,80.04%,908,1046,193,1,5,,,,,,,
,5604,1807,1511,83.62%,564,817,126,0,4,,,,,,,
,TOTAL,4577,3726,81.41%,1496,1895,325,1,9,,,,,,,
STATE REPRESENTATIVE 7TH DISTRICT,Precinct,Voters,Trnout,Pct,MITCH GREENLICK (DEM),BILL WITT (REP),Under Votes,Over Votes,Write-ins,,,,,,,
,104,15,12,80%,10,1,1,0,0,,,,,,,
,158,181,165,91.16%,65,90,10,0,0,,,,,,,
,159,155,146,94.19%,84,48,14,0,0,,,,,,,
,1045,226,205,90.71%,117,80,8,0,0,,,,,,,
,1240,753,682,90.57%,463,191,24,2,2,,,,,,,
,1321,1884,1657,87.95%,806,748,99,1,3,,,,,,,
,1500,439,378,86.1%,212,143,23,0,0,,,,,,,
,1504,1610,1367,84.91%,725,565,69,3,5,,,,,,,
,1505,686,579,84.4%,249,284,41,4,1,,,,,,,
,1507,348,316,90.8%,193,108,12,2,1,,,,,,,
,TOTAL,6297,5507,87.45%,2924,2258,301,12,12,,,,,,,
STATE REPRESENTATIVE 10TH DISTRICT,Precinct,Voters,Trnout,Pct,JAN LEE (REP),MIKE SMITH (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,4309,2163,1674,77.39%,713,806,148,2,5,,,,,,,
,4359,2001,1568,78.36%,640,795,127,2,4,,,,,,,
,5602,513,401,78.17%,201,167,32,0,1,,,,,,,
,TOTAL,4677,3643,77.89%,1554,1768,307,4,10,,,,,,,
STATE REPRESENTATIVE 11TH DISTRICT,Precinct,Voters,Trnout,Pct,JOAN GARDNER (REP),MARY NOLAN (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,1156,3258,2847,87.38%,759,1763,318,1,6,,,,,,,
,1170,4159,3619,87.02%,997,2191,417,3,11,,,,,,,
,1205,4235,3517,83.05%,780,2302,425,3,7,,,,,,,
,1224,3432,3059,89.13%,761,1941,346,3,8,,,,,,,
,1226,3298,2871,87.05%,766,1773,323,2,7,,,,,,,
,1230,4294,3673,85.54%,877,2332,434,2,28,,,,,,,
,1238,4218,3514,83.31%,1050,2013,430,3,18,,,,,,,
,1245,4725,4027,85.23%,958,2606,447,3,13,,,,,,,
,1400,1389,1169,84.16%,429,592,146,0,2,,,,,,,
,1515,1079,976,90.45%,375,495,103,1,2,,,,,,,
,TOTAL,34087,29272,85.87%,7752,18008,3389,21,102,,,,,,,
STATE REPRESENTATIVE 12TH DISTRICT,Precinct,Voters,Trnout,Pct,CHRIS BECK (DEM),JEANNE SCHOEL (REP),H. JOE TABOR (LIB),Under Votes,Over Votes,Write-ins,,,,,,
,103,13,9,69.23%,6,1,1,1,0,0,,,,,,
,141,53,42,79.25%,17,16,1,8,0,0,,,,,,
,156,71,67,94.37%,47,16,0,4,0,0,,,,,,
,1013,4798,4106,85.58%,2826,654,133,476,6,11,,,,,,
,1025,4652,3512,75.49%,2422,377,226,471,2,14,,,,,,
,1053,3531,2200,62.31%,1378,368,156,281,0,17,,,,,,
,1103,4013,3063,76.33%,1959,511,183,398,3,9,,,,,,
,1183,2855,2312,80.98%,1437,465,104,300,3,3,,,,,,
,1211,2212,1896,85.71%,1224,366,72,230,0,4,,,,,,
,1213,1408,1190,84.52%,703,296,32,152,3,4,,,,,,
,1222,4249,3702,87.13%,2318,841,132,399,2,10,,,,,,
,1315,2949,2306,78.2%,1374,512,132,276,4,8,,,,,,
,1402,422,351,83.18%,164,135,10,42,0,0,,,,,,
,1546,1118,1004,89.8%,448,429,21,100,0,6,,,,,,
,4295,3080,2556,82.99%,1743,396,117,286,3,11,,,,,,
,TOTAL,35424,28316,79.93%,18066,5383,1320,3424,26,97,,,,,,
STATE REPRESENTATIVE 13TH DISTRICT,Precinct,Voters,Trnout,Pct,DAN GARDNER (DEM),Under Votes,Over Votes,Write-ins,,,,,,,,
,601,0,0,0%,0,0,0,0,,,,,,,,
,4178,4403,3269,74.24%,2278,894,1,96,,,,,,,,
,4185,2985,2205,73.87%,1514,614,0,77,,,,,,,,
,4202,3421,2553,74.63%,1739,734,0,80,,,,,,,,
,4242,4437,3577,80.62%,2560,926,2,89,,,,,,,,
,4250,4384,3561,81.23%,2465,987,3,106,,,,,,,,
,4254,3140,2500,79.62%,1668,744,2,86,,,,,,,,
,4282,2707,2400,88.66%,1578,781,1,40,,,,,,,,
,4299,3610,2475,68.56%,1632,732,1,110,,,,,,,,
,TOTAL,29087,22540,77.49%,15434,6412,10,684,,,,,,,,
STATE REPRESENTATIVE 14TH DISTRICT,Precinct,Voters,Trnout,Pct,JOHN MCENROE (LIB),DIANE ROSENBAUM (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,3274,3721,2938,78.96%,311,2221,368,7,31,,,,,,,
,4009,2727,2234,81.92%,202,1744,267,3,18,,,,,,,
,4022,3891,2907,74.71%,354,2152,372,2,27,,,,,,,
,4027,2315,1851,79.96%,195,1439,197,3,17,,,,,,,
,4041,5109,4383,85.79%,375,3391,594,2,21,,,,,,,
,4049,3743,2810,75.07%,362,2101,326,1,20,,,,,,,
,4065,5006,3959,79.09%,435,2961,523,5,35,,,,,,,
,4106,3615,2979,82.41%,307,2288,362,5,17,,,,,,,
,4167,2217,1704,76.86%,206,1234,246,4,14,,,,,,,
,TOTAL,32344,25765,79.66%,2747,19531,3255,32,200,,,,,,,
STATE REPRESENTATIVE 15TH DISTRICT,Precinct,Voters,Trnout,Pct,SCOTT LUTZ (REP),STEVE MARCH (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,3240,4680,3647,77.93%,825,2348,445,5,24,,,,,,,
,3248,2630,2107,80.11%,375,1467,251,1,13,,,,,,,
,3290,3628,3212,88.53%,499,2335,366,1,11,,,,,,,
,4111,3585,3081,85.94%,587,2077,393,4,20,,,,,,,
,4125,3850,2798,72.68%,942,1449,387,5,15,,,,,,,
,4131,3243,2625,80.94%,450,1800,355,2,18,,,,,,,
,4155,3806,2963,77.85%,579,2026,344,0,14,,,,,,,
,4320,3640,2661,73.1%,801,1430,410,7,13,,,,,,,
,,29062,23094,79.46%,5058,14932,2951,25,128,,,,,,,
STATE REPRESENTATIVE 16TH DISTRICT,Precinct,Voters,Trnout,Pct,JEFF MERKLEY (DEM),DAVID TILLEMANS (PAC),Under Votes,Over Votes,Write-ins,,,,,,,
,332,194,106,54.64%,71,17,17,0,1,,,,,,,
,3000,3562,2645,74.26%,1826,360,412,5,42,,,,,,,
,3185,2754,2156,78.29%,1326,269,521,3,37,,,,,,,
,3311,3293,2463,74.8%,1567,317,535,3,41,,,,,,,
,3315,2336,1658,70.98%,1072,232,318,2,34,,,,,,,
,3327,2117,1625,76.76%,1047,200,348,0,30,,,,,,,
,3329,3650,2983,81.73%,1943,343,653,2,42,,,,,,,
,4333,3442,2556,74.26%,1690,313,501,1,51,,,,,,,
,4344,2757,2023,73.38%,1346,275,376,1,25,,,,,,,
,4345,3858,2881,74.68%,1874,391,557,2,57,,,,,,,
,5029,562,486,86.48%,322,57,100,0,7,,,,,,,
,TOTAL,28525,21582,75.66%,14084,2774,4338,19,367,,,,,,,
STATE REPRESENTATIVE 17TH DISTRICT,Precinct,Voters,Trnout,Pct,THOMAS W. ALBRIGHT (SOC),GARY D. HANSEN (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,157,22,22,100%,4,18,0,0,0,,,,,,,,
,1002,846,718,84.87%,68,498,142,0,10,,,,,,,,
,2002,4037,2650,65.64%,268,1925,395,4,58,,,,,,,,
,2026,4000,2653,66.33%,280,1955,359,5,54,,,,,,,,
,2029,3566,2586,72.52%,203,1960,375,7,41,,,,,,,,
,2077,4831,3640,75.35%,375,2603,599,2,61,,,,,,,,
,2100,4047,3219,79.54%,273,2375,516,1,54,,,,,,,,
,2114,3688,2882,78.15%,296,2147,396,4,39,,,,,,,,
,2143,2598,1979,76.17%,166,1378,397,5,33,,,,,,,,
,TOTAL,27635,20349,73.63%,1933,14859,3179,28,350,,,,,,,,
STATE REPRESENTATIVE 18TH DISTRICT,Precinct,Voters,Trnout,Pct,VICTORIA P. GUILLEBEAU (SOC),DEBORAH KAFOURY (DEM),ROGER SHIPMAN (CON),BARRY JOE STULL (PAC),Under Votes,Over Votes,Write-ins,,,,,
,2086,4299,3159,73.48%,81,2266,135,318,337,5,17,,,,,
,2099,3501,2379,67.95%,79,1726,56,253,231,17,17,,,,,
,3004,2988,2034,68.07%,45,1515,67,201,189,5,12,,,,,
,3008,3437,2726,79.31%,55,2025,107,234,285,1,19,,,,,
,3058,4991,3693,73.99%,96,2667,115,393,385,15,22,,,,,
,3097,3966,2963,74.71%,90,2185,66,324,278,11,9,,,,,
,3151,5088,3622,71.19%,119,2664,66,444,301,7,21,,,,,
,3253,1285,979,76.19%,32,700,28,83,127,3,6,,,,,
,TOTAL,29555,21555,72.93%,597,15748,640,2250,2133,64,123,,,,,
STATE REPRESENTATIVE 19TH DISTRICT,Precinct,Voters,Trnout,Pct,IVARS BITANS (REP),JO ANN A. BOWMAN (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,3002,2692,2064,76.67%,424,1382,245,1,12,,,,,,,
,3086,2724,2020,74.16%,399,1369,238,3,11,,,,,,,
,3113,3238,2879,88.91%,435,2136,301,0,7,,,,,,,
,3128,3853,3393,88.06%,559,2458,366,1,9,,,,,,,
,3144,3833,3407,88.89%,475,2618,300,4,10,,,,,,,
,3177,4140,3440,83.09%,667,2282,466,5,20,,,,,,,
,3193,4348,3622,83.3%,582,2587,436,3,14,,,,,,,
,3259,4560,3831,84.01%,513,2888,414,2,14,,,,,,,
,3297,1623,1153,71.04%,227,786,134,3,3,,,,,,,
,TOTAL,31011,25809,83.23%,4281,18506,2900,22,100,,,,,,,
STATE REPRESENTATIVE 20TH DISTRICT,Precinct,Voters,Trnout,Pct,KAREN MINNIS (REP),MIKE WEATHERBY (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,542,9,7,77.78%,2,5,0,0,0,,,,,,,
,543,26,11,42.31%,5,5,0,0,1,,,,,,,
,546,125,83,66.4%,31,50,2,0,0,,,,,,,
,547,2,2,100%,0,2,0,0,0,,,,,,,
,3307,3317,2658,80.13%,1347,1079,215,5,12,,,,,,,
,3322,1584,1259,79.48%,661,485,106,1,6,,,,,,,
,3330,3490,2724,78.05%,1454,1053,210,2,5,,,,,,,
,5100,3027,2209,72.98%,1075,950,176,2,6,,,,,,,
,5200,4071,3062,75.21%,1732,1094,231,1,4,,,,,,,
,5201,3224,2650,82.2%,1434,991,212,6,7,,,,,,,
,5301,1445,1038,71.83%,531,426,74,3,4,,,,,,,
,5401,300,265,88.33%,131,112,21,0,1,,,,,,,
,5850,3547,2507,70.68%,1245,1016,227,4,15,,,,,,,
,5868,2630,2025,77%,1089,743,187,0,6,,,,,,,
,5870,3490,2530,72.49%,1249,1046,218,1,16,,,,,,,
,5871,2397,1591,66.37%,680,765,134,2,10,,,,,,,
,,32684,24621,75.33%,12666,9822,2013,27,93,,,,,,,
STATE REPRESENTATIVE 21ST DISTRICT,Precinct,Voters,Trnout,Pct,RANDY LEONARD (DEM),Under Votes,Over Votes,Write-ins,,,,,,,,
,548,38,22,57.89%,14,6,0,2,,,,,,,,
,590,42,24,57.14%,15,9,0,0,,,,,,,,
,4216,4350,2836,65.2%,1906,817,3,110,,,,,,,,
,4338,2457,1799,73.22%,1106,599,0,94,,,,,,,,
,4339,3088,2146,69.49%,1333,710,3,100,,,,,,,,
,4340,2215,1571,70.93%,1045,473,3,50,,,,,,,,
,4350,3287,2510,76.36%,1640,789,2,79,,,,,,,,
,4352,3218,2219,68.96%,1435,696,1,87,,,,,,,,
,4360,2430,1713,70.49%,1103,546,1,63,,,,,,,,
,4361,3751,2691,71.74%,1703,882,4,102,,,,,,,,
,TOTAL,24876,17531,70.47%,11300,5527,17,687,,,,,,,,
STATE REPRESENTATIVE 22ND DISTRICT,Precinct,Voters,Trnout,Pct,LAURIE MONNES ANDERSON (DEM),EDWIN GOLOBAY (REP),Under Votes,Over Votes,Write-ins,,,,,,,
,432,209,141,67.46%,66,60,15,0,0,,,,,,,
,433,238,164,68.91%,79,79,6,0,0,,,,,,,
,5603,401,305,76.06%,141,133,26,1,4,,,,,,,
,5819,4047,2981,73.66%,1603,1145,216,5,12,,,,,,,
,5820,3953,3001,75.92%,1529,1219,237,3,13,,,,,,,
,5828,3038,2094,68.93%,1114,829,141,2,8,,,,,,,
,5842,4376,3566,81.49%,1777,1565,210,9,5,,,,,,,
,5846,4030,3274,81.24%,1454,1594,217,3,6,,,,,,,
,5851,4022,3143,78.15%,1483,1467,180,5,8,,,,,,,
,5853,3461,2665,77%,1333,1163,158,1,10,,,,,,,
,5855,3683,3083,83.71%,1473,1395,208,1,6,,,,,,,
,5861,2616,2049,78.33%,1048,844,151,1,5,,,,,,,
,TOTAL,34074,26466,77.67%,13100,11493,1765,31,77,,,,,,,
STATE REPRESENTATIVE 56TH DISTRICT,Precinct,Voters,Trnout,Pct,PATTI SMITH (REP),PAUL ZASTROW (DEM),Under Votes,Over Votes,Write-ins,,,,,,,
,521,80,62,77.5%,39,15,7,0,1,,,,,,,
,5425,2690,2153,80.04%,1270,761,110,2,10,,,,,,,
,5604,1807,1511,83.62%,880,520,104,0,7,,,,,,,
,TOTAL,4577,3726,81.41%,2189,1296,221,2,18,,,,,,,
